THERMO ALL
   300.000  1000.000  5000.000
H                      0H   1C   0O   0N   0G   300.000  5000.000 1000.00      1
 0.25010442E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
 0.25474747E+05-0.46534132E+00 0.25010442E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00 0.25474747E+05-0.46534132E+00                   4
H2                     0H   2C   0O   0N   0G   300.000  5000.000 1000.00      1
 0.29914230E+01 0.70006440E-03-0.56338290E-07-0.92315780E-11 0.15827520E-14    2
-0.83503400E+03-0.13551100E+01 0.32981240E+01 0.82494420E-03-0.81430150E-06    3
-0.94754340E-10 0.41348720E-12-0.10125210E+04-0.32940940E+01                   4
O                      0H   0C   0O   1N   0G   300.000  5000.000 1000.00      1
 0.25420600E+01-0.27550620E-04-0.31028030E-08 0.45510670E-11-0.43680520E-15    2
 0.29230800E+05 0.49203080E+01 0.29464290E+01-0.16381660E-02 0.24210320E-05    3
-0.16028430E-08 0.38906960E-12 0.29147640E+05 0.29639950E+01                   4
O2                     0H   0C   0O   2N   0G   300.000  5000.000 1000.00      1
 0.36975780E+01 0.61351970E-03-0.12588420E-06 0.17752810E-10-0.11364350E-14    2
-0.12339300E+04 0.31891660E+01 0.32129360E+01 0.11274860E-02-0.57561500E-06    3
 0.13138770E-08-0.87685540E-12-0.10052490E+04 0.60347380E+01                   4
H2O                    0H   2C   0O   1N   0G   300.000  5000.000 1000.00      1
 0.26721460E+01 0.30562930E-02-0.87302600E-06 0.12009960E-09-0.63916180E-14    2
-0.29899210E+05 0.68628170E+01 0.33868420E+01 0.34749820E-02-0.63546960E-05    3
 0.69685810E-08-0.25065880E-11-0.30208110E+05 0.25902330E+01                   4
CO                     0H   0C   1O   1N   0G   300.000  5000.000 1000.00      1
 0.30250780E+01 0.14426890E-02-0.56308280E-06 0.10185810E-09-0.69109520E-14    2
-0.14268350E+05 0.61082180E+01 0.32624520E+01 0.15119410E-02-0.38817550E-05    3
